..
Name                                                                                                                              OS       Location                                                                                                                                      
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-789.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-794.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-801.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-808.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-815.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-835.1.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-845.0.0                                                                            Linux    Southeast Asia, Australia East, Australia Southeast, Central India, South India, West India, Japan West, Central US, East US, South Central US
2b171e93f07c4903bcad35bda10acf22__CoreOS-Beta-494.0.0                                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Beta-494.1.0                                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Beta-494.4.0                                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
2b171e93f07c4903bcad35bda10acf22__CoreOS-Beta-494.5.0                                                                             Linux    Southeast Asia, Australia East, Australia Southeast, Japan West, Central US, East US, South Central US                                        
